Key,Translation
Currency.Copper,Silver
ItemName.CopperCoin,Silver Stud
ProjectileName.CopperCoin,Silver Stud
ProjectileName.CopperCoinsFalling,Silver Studs
Currency.Silver,Gold
ItemName.SilverCoin,Gold Stud
ProjectileName.SilverCoin,Gold Stud
ProjectileName.SilverCoinsFalling,Gold Studs
Currency.Gold,Blue
ItemName.GoldCoin,Blue Stud
ProjectileName.GoldCoin,Blue Stud
ProjectileName.GoldCoinsFalling,Blue Studs
Currency.Platinum,Purple
ItemName.PlatinumCoin,Purple Stud
ProjectileName.PlatinumCoin,Purple Stud
ProjectileName.PlatinumCoinsFalling,Purple Studs
Prefix.Massive,Comically Large
Prefix.Legendary,Based
Prefix.Unreal,Hale"'"s Own
Prefix.Mythical,Poggers
Prefix.Godly,Wicked Nasty
Prefix.Masterful,Epic
Prefix.Savage,Server-Clearing
Prefix.Deadly,Australian
Prefix.Rapid,Sufficiently Lethal
Prefix.Hasty,Notably Dangerous
Prefix.Staunch,Somewhat Threatening
Prefix.Superior,Notably Dangerous
Prefix.Demonic,Positively Inhumane
Prefix.Intimidating,Mildly Menacing
Prefix.Unpleasant,Uncharitable
Prefix.Celestial,Chungussy
Prefix.Large,Fat
Prefix.Broken,Bradley Johnson"'"s
Prefix.Terrible,Cringe
Prefix.Annoying,Sussy
Prefix.Awful,Bluepilled
ItemName.WandofSparking,Flint and Steel
ItemTooltip.WandofSparking,"*click-clack* *cough* *running footsteps*"
BuffName.PirateMinion,Sus
BuffDescription.PirateMinion,You have a lidl amoung frend :3
ItemName.PirateStaff,Emergency Meeting Staff
ItemTooltip.PirateStaff,Calls an amongus to fight for you
ItemName.Boomstick,Scattergun
ItemToolTip.Boomstick,"'Think fast chucklenuts!'"
